admin_id,GID_0,COUNTRY,GID_1,NAME_1,NL_NAME_1,GID_2,NAME_2,NL_NAME_2,NAME_3,VARNAME_3,NL_NAME_3,TYPE_3,ENGTYPE_3,CC_3,HASC_3,total_buildings,flooded_buildings,flooded_ratio
GRC.8.2.2_1,GRC,Greece,GRC.8_1,Thessaly and Central Greece,Θεσσαλία και Στερεά Ελλάδα,GRC.8.2_1,Thessaly,Θεσσαλία,Almyros,NA,Αλμυρού,Dímos,Municipality,NA,GR.TC.AM,1.0,0.0,0.0
GRC.8.1.8_1,GRC,Greece,GRC.8_1,Thessaly and Central Greece,Θεσσαλία και Στερεά Ελλάδα,GRC.8.1_1,Central Greece,Στερεά Ελλάδα,Domokos,NA,Δομοκού,Dímos,Municipality,NA,GR.TC.DK,0.0,0.0,0.0
GRC.8.2.20_1,GRC,Greece,GRC.8_1,Thessaly and Central Greece,Θεσσαλία και Στερεά Ελλάδα,GRC.8.2_1,Thessaly,Θεσσαλία,Sofades,NA,Σοφάδων,Dímos,Municipality,NA,GR.TC.SO,562.0,1.0,0.0017793594306049821
GRC.5.1.4_1,GRC,Greece,GRC.5_1,Epirus and Western Macedonia,Ήπειρος και Δυτική Μακεδονία,GRC.5.1_1,Epirus,Ήπειρος,Georgios Karaiskakis,NA,Γεωργίου Καραϊσκάκη,Dímos,Municipality,NA,GR.EM.GK,82.0,0.0,0.0
GRC.8.2.4_1,GRC,Greece,GRC.8_1,Thessaly and Central Greece,Θεσσαλία και Στερεά Ελλάδα,GRC.8.2_1,Thessaly,Θεσσαλία,Argithea,NA,Αργιθέας,Dímos,Municipality,NA,GR.TC.AR,180.0,0.0,0.0
GRC.8.2.12_1,GRC,Greece,GRC.8_1,Thessaly and Central Greece,Θεσσαλία και Στερεά Ελλάδα,GRC.8.2_1,Thessaly,Θεσσαλία,Limni Plastiras,Lake Plastiras,Λίμνης Πλαστήρα,Dímos,Municipality,NA,GR.TC.LP,383.0,0.0,0.0
GRC.5.1.7_1,GRC,Greece,GRC.5_1,Epirus and Western Macedonia,Ήπειρος και Δυτική Μακεδονία,GRC.5.1_1,Epirus,Ήπειρος,Kentrika Tzoumerka,Central Tzoumerka,Κεντρικών Τζουμέρκων,Dímos,Municipality,NA,GR.EM.KT,25.0,1.0,0.04
GRC.8.2.13_1,GRC,Greece,GRC.8_1,Thessaly and Central Greece,Θεσσαλία και Στερεά Ελλάδα,GRC.8.2_1,Thessaly,Θεσσαλία,Mouzaki,NA,Μουζακίου,Dímos,Municipality,NA,GR.TC.MO,1384.0,6.0,0.004335260115606936
GRC.8.2.16_1,GRC,Greece,GRC.8_1,Thessaly and Central Greece,Θεσσαλία και Στερεά Ελλάδα,GRC.8.2_1,Thessaly,Θεσσαλία,Pyli,NA,Πύλης,Dímos,Municipality,NA,GR.TC.PY,1341.0,0.0,0.0
GRC.8.2.7_1,GRC,Greece,GRC.8_1,Thessaly and Central Greece,Θεσσαλία και Στερεά Ελλάδα,GRC.8.2_1,Thessaly,Θεσσαλία,Farsala,NA,Φαρσάλων,Dímos,Municipality,NA,GR.TC.FS,345.0,2.0,0.005797101449275362
GRC.8.2.9_1,GRC,Greece,GRC.8_1,Thessaly and Central Greece,Θεσσαλία και Στερεά Ελλάδα,GRC.8.2_1,Thessaly,Θεσσαλία,Karditsa,NA,Καρδίτσας,Dímos,Municipality,NA,GR.TC.KD,5451.0,9.0,0.001651073197578426
GRC.8.2.15_1,GRC,Greece,GRC.8_1,Thessaly and Central Greece,Θεσσαλία και Στερεά Ελλάδα,GRC.8.2_1,Thessaly,Θεσσαλία,Palamas,NA,Παλαμά,Dímos,Municipality,NA,GR.TC.PA,1048.0,77.0,0.07347328244274809
